NAME,Original Name,Type_name,Type_ID,Industry ,Specialities,Description,Founded,Is_Corprate,Websites,
BitLab,BitLab,Healthcare IT,203,"Healthcare & Medical Platforms, AI, MedTech","['AI applications', 'quantum-secure data protection', 'healthcare solutions', 'diagnostic tools', 'personalized treatment systems', 'secure data management']","BitLab is a healthcare technology startup focused on delivering innovative and scalable solutions to improve healthcare delivery. The company recently partnered with Scope Technologies and Global Care Innovations to develop specialized healthcare solutions across North America. BitLab's offerings include advanced AI applications designed to enhance diagnostic capabilities, streamline patient care workflows, and improve treatment outcomes. Additionally, they focus on the implementation of quantum-secure data protection, ensuring compliance with HIPAA and safeguarding healthcare data against cyber threats. Their vision revolves around combining AI innovation with quantum-secure technology, leading to practical tools aimed at transforming the healthcare landscape.",none,TRUE,https://www.bitlab.co/news/bitlab-teams-up-with-scope-technologies-and-global-care-innovations-to-advance-healthcare-ai,
Ancor Capital Partners,Ancor Capital Partners,Finance,12,Private Equity,"['Private equity investments', 'operational optimization', 'growth maximization', 'supportive culture']","Ancor Capital Partners is a Dallas-based private equity firm with over 30 years of experience in helping companies operationally optimize their businesses to achieve significant growth. They focus on creating a supportive culture and setting challenging yet attainable goals for their portfolio companies. Ancor Capital Partners is committed to building partnerships that foster success not only in financial terms but also in the overall development of the businesses they support. Their investment strategy is to align with companies across various sectors, including healthcare, consumer staples, industrial manufacturing, and emerging industries.",none,TRUE,http://www.ancorcapital.com/,
"Intermountain Children's Health, Broad Clinical Labs",Intermountain Health,Healthcare Provider,3,Healthcare,"['Primary care', 'specialty care', 'virtual care', 'patient resources', 'billing', 'financial assistance']","Intermountain Health is a healthcare provider that delivers high-quality, affordable, and personalized care within the community. It offers a variety of services including primary care, specialized medical services, virtual care options, a patient portal for managing health, and tools for billing and financial assistance. Additionally, the organization provides resources to help patients access their medical records and offers information regarding classes and events related to health. Intermountain Health places a strong emphasis on delivering trusted medical expertise to help patients find the right care at the right location.",none,TRUE,https://intermountainhealthcare.org/services/pediatrics,
Acquired by Fotonation,,,#N/A,,,,,TRUE,,
Acquired by Carlin Consumer Health,,,#N/A,,,,,TRUE,,
Gachon University Gil Hospital,가천대 길병원,Healthcare Provider,3,Healthcare,['Hospital'],"가천대 길병원, also known as Gachon University Gil Medical Center, is a leading healthcare institution in South Korea that offers comprehensive medical services. The hospital provides a wide range of clinical services, including emergency care, specialized treatments across various medical disciplines, and advanced surgical procedures. With a focus on patient-centered care, the facility utilizes cutting-edge medical technology and employs highly skilled healthcare professionals to ensure high-quality services. The center is also engaged in medical education and research, contributing to the development of innovative medical practices and healthcare solutions.",none,TRUE,http://www.gilhospital.com,
"Tyson Foods, Mark Cuban Cost Plus Drugs",Tyson Foods,Food & Beverage,47,Food Production and Processing,"['Protein production', 'Food innovation', 'Culinary innovation', 'Hunger relief', 'Sustainability']","Tyson Foods is a leading global food company committed to enhancing food quality and innovation. They offer a diverse product range that includes protein-centric brands like Jimmy Dean, Hillshire Farm, and more. The company is dedicated to reimagining the journey from farm to table while ensuring that their food products not only taste great but also contribute to health and sustainability. They actively engage in community support through hunger relief and disaster response initiatives.",none,TRUE,https://www.tysonfoods.com/,
Acquired by EOM sp z o. o.,EOM Sp. z o. o.,Healthcare Provider,3,Medical Services / Insurance Claims Management,"['Medical assessments', 'risk evaluation', 'electronic medical verdicts', 'insurance claims services', 'expert medical opinions', 'healthcare supervision.']","EOM Sp. z o. o. is a Polish healthcare provider specializing in medical assessments and risk evaluations primarily for insurance claims management. Established in 2011, the company offers comprehensive services including remote and on-site medical opinions regarding health impairments caused by accidents. These assessments include determining causal relationships, care needs, treatment costs, rehabilitation, and work incapacity. The organization uses advanced information systems to enhance efficiencies in documentation flow, coordination of involved parties, and quality monitoring. With a network of over 600 medical experts and partnerships with various insurance companies and medical facilities, EOM proudly maintains a high accuracy rate in issued medical opinions, ensuring client satisfaction and timely service delivery. The company has successfully completed over 800,000 orders across Poland, showcasing its significant footprint in the healthcare sector.",2011,TRUE,https://www.eom.com.pl/,
Konica Minolta Healthcare,"Konica Minolta Healthcare Americas, Inc.",Healthcare IT,203,Healthcare Technology,"['Radiography', 'Ultrasound', 'Healthcare IT', 'Service Solutions']","Konica Minolta Healthcare Americas, Inc. is a leader in healthcare technology, dedicated to improving patient outcomes through innovative imaging solutions. The company offers a range of products and services, including advanced digital radiography systems, ultrasound equipment, and comprehensive healthcare IT solutions. By fostering a culture of passion and innovation, Konica Minolta consistently seeks to optimize workflows and enhance visualization in medical practices. Additionally, the company is committed to sustainability, cybersecurity, diversity, and upholding the highest ethical standards, providing exceptional customer support and offering valuable resources to healthcare providers globally.",none,TRUE,https://www.konicaminolta.com/medicalusa/,
Scope Technologies,Scope Technologies Corp,Tech,14,Technology (Quantum Security and Artificial Intelligence),"['Quantum security', 'Artificial intelligence', 'Data security', 'Quantum encryption', 'Neural networks']","Scope Technologies Corp is a leading technology company headquartered in Vancouver, British Columbia, specializing in quantum security and artificial intelligence. The company offers next-generation solutions through its flagship brands, QSE Group and GEM AI. QSE Group provides Quantum Immutable Decentralized Cloud Storage, which safeguards data from ransomware through advanced encryption that is resistant to both classical and quantum attacks. Additionally, their Entropy as a Service (EaaS) offers quantum-proof randomness for encryption key generation. GEM AI is an innovative platform that enables businesses to create custom image recognition and machine learning models, facilitating easy building, testing, and deploying of neural networks without requiring specialized technical expertise. Scope Technologies is committed to empowering businesses and individuals with secure, scalable technologies that drive growth and operational efficiency.",none,TRUE,https://www.scopetechnologies.io/,
"Okinawa Times Co., Ltd.","沖縄タイムス社 (Okinawa Times Co., Ltd.)",Media,25,Healthcare Distribution,"['News publishing', 'digital content', 'local journalism', 'and community engagement.']","沖縄タイムス社 is a media company based in Okinawa, Japan, which operates the Okinawa Times newspaper and its online platform, 沖縄タイムス＋プラス. The company specializes in delivering the latest news, editorials, cultural content, and community issues primarily related to Okinawa. Its products include printed newspapers, electronic newspapers, and various digital media offerings, aiming to inform and engage the local population on a range of topics including politics, economy, society, culture, and sports. Through its membership and subscription services, 沖縄タイムス社 also offers exclusive content and interactive user experiences to its readers.",none,TRUE,https://www.okinawatimes.co.jp/,"Okinawa Times Co., Ltd."
Konica Minolta Healthcare,KONICA MINOLTA,Medical Device,26,Healthcare,"['Digital Radiography', 'Computed Radiography', 'X-ray Systems', 'Laser Imaging', 'Ultrasound technology']","KONICA MINOLTA is a global provider of advanced imaging solutions and technologies for the healthcare sector. The company specializes in medical devices including digital and computed radiography systems, X-ray systems, laser imagers, workstations, and ultrasound technologies. By combining innovative imaging technology with user-friendly applications, KONICA MINOLTA delivers value-added solutions for diagnostic imaging, ensuring high-quality images and efficient workflow in clinical settings. The company's educational initiatives, like the KM Ultrasound Educational mobile app, reflect their commitment to enhancing healthcare professionals' skills and knowledge in the evolving field of medical imaging.",none,TRUE,https://www.konicaminolta.com/global-en/healthcare/index.html,Konica Minolta Healthcare
Medical DOC Clinic,Medical DOC (メディカルDOC),Healthcare Provider,3,Healthcare Provider,['Medical consultation and health management services'],"Medical DOC is a healthcare provider that offers an array of services centered around medical consultation and health management. The company leverages technology to enhance the accessibility and efficiency of healthcare delivery, providing resources for both patients and healthcare professionals. Its offerings include medical evaluations, health assessments, and personalized care plans aimed at improving patient outcomes. Medical DOC also collaborates with medical professionals to ensure comprehensive and continuous care for users, integrating digital solutions to streamline health services and promote effective communication between patients and providers.",none,TRUE,https://clinic.medicaldoc.jp/,Medical DOC Clinic
ERC Pathlight,Eating Recovery Center,Foundation,34,Genomics,"['Treatment of eating disorders and mood & anxiety disorders', 'education', 'evidence-based research support.']","Eating Recovery Center is focused on improving the understanding and treatment of eating disorders as well as mood and anxiety disorders. The organization promotes education, provides resources, and supports aligned organizations to enhance the lives of individuals at risk for or experiencing these disorders. They offer various treatment modalities including inpatient, residential, and outpatient services tailored for adults and children. Additionally, they provide aftercare support, nutrition programs, and host support groups and educational events. Through the Eating Recovery and Pathlight Foundation, they also champion research and awareness initiatives, helping individuals access necessary care, particularly those facing financial hardships.",2012,TRUE,https://www.eatingrecoverycenter.com/about-us/foundation,ERC Pathlight
Greenlight Health Data Solutions,Greenlight Health Data Solutions,Healthcare IT,203,Genomics,"['Digital health data management', 'patient-consented medical records access', 'healthcare connectivity', 'electronic health record (EHR) solutions', 'data security and privacy compliance.']","Greenlight Health Data Solutions is a pioneering provider of digital health data solutions, focusing on enhancing access to patient-consented medical records across various electronic health record (EHR) systems. Established over 25 years ago, previously known as Medfusion, Greenlight has revolutionized the healthcare landscape by enabling instant access to patient health records, allowing healthcare providers, insurers, and life science organizations to improve patient outcomes efficiently. The company's platform accelerates data sharing from weeks to minutes while adhering to strict security and privacy standards including HITRUST and HIPAA compliance. Greenlight empowers patients with control over their digital records, creating a more connected healthcare ecosystem.",none,TRUE,https://greenlighthealth.com/,Greenlight Health Data Solutions
Department of Education and Early Learning (DEEL),Department of Education and Early Learning (DEEL),Government,13,Pharmaceutical,"['Education', 'Early Learning', 'Child Care Assistance', 'School-Based Health Services', 'Family Support Services']","The Department of Education and Early Learning (DEEL) in Seattle is dedicated to promoting educational equity and supporting the development of children from infancy through their early schooling years. Its portfolio includes various programs such as the Seattle Preschool Program (SPP), child care assistance, and wraparound services for families. DEEL aims to provide high-quality education, ensure access to essential resources, and promote family engagement. The department is also involved in funding opportunities for educational programs and community support, focusing on culturally specific and responsive investments to address the diverse needs of Seattle's communities. Additionally, DEEL oversees initiatives that enhance mental health support and other critical services for youth and families.",none,TRUE,https://www.seattle.gov/education,Department of Education and Early Learning (DEEL)
Merck,"Merck & Co., Inc. (known as MSD outside of the United States and Canada)",Pharmaceutical,24,Pharmaceutical,"['Oncology', 'Vaccines', 'Infectious Diseases', 'Cardio-Metabolic Disorders', 'Immunology', 'Neuroscience']","Merck & Co., Inc., known as MSD outside the U.S. and Canada, is a leading global biopharmaceutical company that utilizes cutting-edge science to develop innovative medicines and vaccines. With over 130 years of experience, Merck is dedicated to improving health by addressing significant healthcare challenges. Its broad portfolio includes key products across various therapeutic areas, including oncology, vaccines, and infectious diseases. The company is committed to exploring immuno-oncology with one of the industry's largest development programs across more than 30 tumor types. Additionally, Merck focuses on enhancing access to its cancer medicines, striving to deliver significant advancements in the treatment and prevention of diseases worldwide.",1891,FALSE,https://www.merck.com/news/merck-and-moderna-announce-exercise-of-option-by-merck-for-joint-development-and-commercialization-of-investigational-personalized-cancer-vaccine/,Merck
Moderna,"Moderna, Inc.",Pharmaceutical,24,Pharmaceutical,"['mRNA technology', 'transformative medicines', 'vaccine development']","Moderna, Inc. is a leading biotechnology company that focuses on pioneering messenger RNA (mRNA) technology to develop a new generation of transformative medicines. The company aims to leverage mRNA science to create innovative treatments and vaccines for various diseases, including those with currently no existing therapies. With over 45 products in their global pipeline and 36 ongoing clinical trials, Moderna is dedicated to making medicines accessible without animal products or preservatives. Their platform facilitates rapid design, research, and testing of multiple mRNAs, enabling them to deliver breakthrough medical advancements faster than traditional methods.",none,TRUE,https://www.modernatx.com/,Moderna
Garage Door Service,A1 Garage Door Service,Others,199,Healthcare Provider,"['Garage Door Installation', 'Garage Door Repair', 'Garage Door Openers', 'Garage Door Springs', 'Garage Storage Solutions', 'Custom Garage Doors', '24-Hour Emergency Services']",,none,TRUE,https://a1garage.com/,Garage Door Service
Union Community,UNIONCOMMUNITY,Medical Device,26,Consulting,"['Biometric technologies (face recognition', 'iris recognition', 'fingerprint recognition)', 'contactless biometric recognition', 'fever screening systems', 'access control solutions.']","UNIONCOMMUNITY is a biometric company specializing in a range of advanced technologies, including face recognition, iris recognition, fingerprint recognition, and live fake finger detection. The company offers various products such as the UBio-X series for face and iris recognition, fingerprint scanners equipped with secure chips, and contactless fever screening systems that enable efficient access control. With a network of 150 partners across 100 countries, UNIONCOMMUNITY provides innovative solutions in fields such as visitor management, thermal detection, and biometric access control, catering to diverse needs in security and healthcare.",2000,TRUE,https://unioncomm.co.kr/en/,Union Community
Tsuruoka City Shonai Hospital,Tsuruoka Municipal Shonai Hospital,Healthcare Provider,3,Genomics,['General healthcare services'],"Tsuruoka Municipal Shonai Hospital is a healthcare provider committed to delivering comprehensive medical services. The hospital offers a wide range of healthcare products and services designed to meet the diverse needs of the community, ensuring that patients receive quality care. The hospital focuses on various specialties, providing essential healthcare services to promote the overall well-being of its patients.",None,TRUE,https://www.shonai-hos.jp/,Tsuruoka City Shonai Hospital
"Hanyang University Rheumatology Hospital, Hanyang University Rheumatology Research Institute",Hanyang University Medical Center,Hospital,215,Genomics,"['Rheumatology', 'Degenerative arthritis', 'Ankylosing spondylitis', 'Rheumatoid arthritis', 'Lupus', 'Osteoarthritis', 'Gout', 'Scleroderma', ""Raynaud's phenomenon"", 'Psoriatic arthritis', 'Vasculitis', 'Osteoporosis', 'Systemic lupus erythematosus', 'Systemic sclerosis', 'Behcet disease', 'Dermatomyositis']","Hanyang University Medical Center is a comprehensive healthcare provider located in Seoul, Korea. It specializes in various medical fields, particularly rheumatology, offering a wide range of services related to the diagnosis and treatment of autoimmune diseases and musculoskeletal disorders. The medical center is committed to providing high-quality patient care, conducting health screenings, and managing patient appointment processes. Additionally, it plays a role in health education and research, fostering a collaborative environment for healthcare professionals and enhancing patient outcomes through advanced medical care.",none,TRUE,https://www.hyumc.com/eng/departments/departments.do?action=intro&mediofCd=RM,"Hanyang University Rheumatology Hospital, Hanyang University Rheumatology Research Institute"
Avocado Green Mattress,Avocado Green Mattress®,Consumer Goods,38,Genomics,"['Organic mattresses', 'pillows', 'and bedding']","Avocado Green Mattress® is a company specializing in the production of eco-friendly and organic sleep products. Their offerings include a range of organic mattresses, pillows, and bedding designed to provide comfort while emphasizing sustainability. The company focuses on high-quality materials derived from natural sources, catering to environmentally conscious consumers who prioritize health and wellness in their sleep environment.",none,TRUE,https://www.avocadogreenmattress.com/,Avocado Green Mattress
Manipal Academy of Higher Education,Manipal Academy of Higher Education (MAHE),Education,194,Pharmaceutical,"['Higher education', 'research', 'interdisciplinary learning', 'various academic programs across multiple disciplines.']",,1953,FALSE,https://www.manipal.edu/mu.html,Manipal Academy of Higher Education
Sutter,Sutter Health,Healthcare Provider,3,Pharmaceutical,"['Hospitals', 'urgent care', 'virtual care', 'specialized health services (behavioral health', 'cancer care', ""children's health"", 'heart and vascular', 'neuroscience', 'orthopedics', ""women's health"", 'and primary care)']","Sutter Health is a healthcare organization based in Northern California, providing a wide range of medical services through its network of hospitals, urgent care centers, and virtual care offerings. With over 12,000 doctors and 15,000 nurses, Sutter Health focuses on delivering high-quality care, ensuring easy access to both in-person and virtual medical services—ranging from everyday health needs to specialized healthcare. Their digital patient portal, My Health Online, allows patients to manage appointments, communicate with doctors, and view test results conveniently. Sutter Health is recognized for excellence in various medical fields, including stroke, maternity, and heart attack care, and is committed to community benefit and health education.",none,TRUE,https://www.sutterhealth.org/,Sutter
Meaningful Insights Biotech Analytics (MiBA),Meaningful Insights Biotech Analytics (MiBA),Healthcare,198,Pharmaceutical,"['Oncology research', 'data analytics', 'cancer treatment solutions']","MiBA is at the forefront of cancer research, utilizing AI-powered analytics to transform vast datasets into actionable insights that promote breakthroughs in oncology treatment and enhance patient care. The company offers a comprehensive suite of data solutions designed to inform and improve the oncology field, serving diverse stakeholders including pharmaceutical and biotech companies, payors, and healthcare providers. MiBA is dedicated to creating a future where data drives each step towards conquering cancer.",none,TRUE,https://www.mibanalytics.com/,Meaningful Insights Biotech Analytics (MiBA)
Busha,Busha,Finance,12,Healthcare Provider,"['Cryptocurrency exchange', 'digital asset management', 'automated marketing', 'interest earning on stablecoins.']",,none,TRUE,https://www.busha.ng/,Busha
Pennant Group,Pennant Group,Healthcare Provider,3,Trade Promotion,"['Home Health', 'Hospice', 'Home Care', 'Independent Living', 'Assisted Living', 'Memory Care']",,none,TRUE,https://pennantgroup.com/,Pennant Group
"Staten Island Performing Provider System, Columbia University's Mailman School of Public Health",Staten Island Performing Provider System (SI PPS),Healthcare Provider,3,Healthcare and Employee Assistance Programs,"['Medical', 'Behavioral Health', 'Social Services']","Staten Island Performing Provider System (SI PPS) is a non-profit public health organization established in 2014 under the New York State Department of Health Medicaid 1115 waiver program. Its purpose is to create a network of medical, behavioral health, and social service agencies that work together to enhance health outcomes, improve quality of care, and reduce costs associated with the Medicaid program. Through various projects and initiatives, SI PPS has successfully reduced avoidable hospital utilization and improved access to health services. The organization received high-performance funding, which it reinvested into its network partners to promote ongoing population health improvement initiatives. In 2024, SI PPS became the lead entity in Richmond County to implement a Social Care Network aimed at addressing health-related social needs and reducing health disparities among Medicaid members.",2014,TRUE,https://statenislandpps.org/,"Staten Island Performing Provider System, Columbia University's Mailman School of Public Health"
"Premier, Inc.","Premier, Inc.",Healthcare,198,"Healthcare & Medical Platforms, AI, MedTech","['Group Purchasing', 'Consulting', 'Supply Chain Solutions', 'Data & Analytics', 'Applied Sciences', 'Population Health', 'Technology', 'Advocacy', 'Pharmacy', 'Quality Improvement']","Premier, Inc. is a healthcare improvement leader dedicated to transforming the healthcare industry by developing innovative solutions that drive measurable results. The company provides a wide range of services including group purchasing, consulting, technology, and advocacy, aimed at optimizing supply chains, integrating pharmacy practices, and maximizing value-based care. Premier's signature platform, PINC AI™, pairs robust analytics with consulting services to support health systems in delivering better care at a lower cost. The organization works closely with its members to address complex challenges and foster a culture of meaningful change in healthcare.",None,TRUE,https://premierinc.com/,"Premier, Inc."
Florida Department of Health,Florida Department of Health,Government,13,Private Equity,"['Public health services', 'disease prevention', 'health education', 'licensing and regulation', 'health statistics', 'and environmental health.']","The Florida Department of Health is a government entity responsible for protecting and improving the health of Floridians. It offers a variety of programs and services including disease control, health education, licensing and regulation within the healthcare sector, and statistics and data collection for public health. The department also manages resources such as the Florida Cancer Connect, which is a centralized hub for information and support for cancer patients, their caregivers, and the community. Through various initiatives, the department aims to promote good nutrition and healthy living to enhance the overall health of the population.",None,TRUE,https://www.floridahealth.gov/,Florida Department of Health
Plandent Division,Plandent Division,Healthcare Distribution,41,Healthcare,"['Dental supply', 'high-tech dental equipment', 'dental materials and instruments']","Plandent Division is a comprehensive dental supply chain headquartered in Helsinki, Finland, serving professionals across the Nordic and Baltic countries, as well as in the Netherlands, Belgium, Germany, Austria, and Poland. The company provides a wide range of quality-driven modern dental products and solutions, including high-tech equipment manufactured by its Finnish parent company, Planmeca Oy. Plandent Division has established itself as one of the most influential dental suppliers in Europe since its founding in 1972, emphasizing close cooperation with customers and leveraging its market experience for rapid growth.",1972,FALSE,https://www.plandent.com/,Plandent Division
Mindsprint,Mindsprint,Consulting,44,Healthcare,"['Technology consulting services', 'business process services', 'cybersecurity and privacy services', 'digital transformation', 'artificial intelligence', 'data analytics', 'user experience', 'customer experience.']","Mindsprint, previously known as Olam Technology and Business Services, is a leading technology and business services firm that focuses on delivering impact-driven solutions to businesses. With a commitment to pioneering digital transformation, Mindsprint empowers organizations to navigate the ever-changing landscape through a collaborative approach and deep industry expertise. The company offers a range of services, including consulting and implementation in technology services, process transformation, and cybersecurity solutions. Mindsprint emphasizes the importance of partnership and has a track record of successful transformations across various sectors, including agriculture and food, consumer goods, retail, manufacturing, and life sciences. With a growing team of 2000 professionals, Mindsprint aims to enhance customer outcomes by leveraging innovative technologies and fostering sustainable business practices.",none,TRUE,https://www.mindsprint.org/,Mindsprint
Genohelix,"(주)셀투바이오 (Cell To Bio Co., Ltd.)",Genomics,50,Food Production,"['EXOSOME', 'Small RNA', 'RNA Purification', 'PCR/qPCR', 'Lab products (CellSTAR', 'Plastic ware', 'Bottle Top Filter', 'Premade-Buffer', 'DNA/Protein Marker)']","Cell To Bio Co., Ltd. specializes in genomics and provides a variety of laboratory products and services. Their product offerings include exosomes, small RNA kits, RNA purification solutions, and PCR/qPCR components. They carry brands such as CellSTAR, Qiagen, Eppendorf, and SARTORIUS, among others. The company is dedicated to supporting research in the field of molecular biology with quality products and expertise in the genomics sector.",none,TRUE,https://www.cellto.co.kr/Product2,Genohelix
"Kukdae, Udi, Genoplan Korea",Genoplan,Genomics,50,Medical Services / Insurance Claims Management,['None'],"Genoplan is a company focused on genomic analysis and personalized medicine. It offers DNA testing services that help individuals understand their genetic predispositions and health risks. The company’s products and services are designed to provide insights into genetic traits related to wellness, nutrition, sports, and inherited diseases, thereby enabling users to make informed decisions about their health and lifestyle based on their genetic information.",none,TRUE,https://www.genoplan.com/en-int,"Kukdae, Udi, Genoplan Korea"
"Genoplan Korea, Udi, Kukdae",Genoplan,Genomics,50,Healthcare Technology,['None'],"Genoplan is a company specializing in genomic analysis aimed at providing personalized health insights. They offer a range of products and services that include genetic testing and analysis, enabling individuals to understand their genetic predispositions and make informed health decisions. Their focus is on promoting health and wellness through the integration of genetic information into everyday life.",None,TRUE,https://www.genoplan.com/en-int,"Genoplan Korea, Udi, Kukdae"
"Gilead Sciences, Inc.",Gilead Sciences,Pharmaceutical,24,Technology (Quantum Security and Artificial Intelligence),"['Virology', 'Oncology', 'Inflammation']","Gilead Sciences is a leading biopharmaceutical company that focuses on discovering, developing, and delivering innovative medicines in areas such as Virology, Oncology, and Inflammation. The company has revolutionized HIV treatment and prevention, with over 25 medicines offered globally, and is a top funder of HIV causes in the U.S. Gilead is committed to building a healthier world through scientific innovation and advancing health equity, offering a robust pipeline of clinical programs aimed at addressing some of the world’s most critical public health challenges.",none,TRUE,https://www.gilead.com/,"Gilead Sciences, Inc."
Gilead Sciences Inc.,Gilead Sciences,Pharmaceutical,24,Media / News Publishing,"['Virology', 'Oncology', 'Inflammation']","Gilead Sciences is a biopharmaceutical company that has been dedicated to advancing therapeutics for some of the world's most challenging health issues for over 35 years. The company specializes in the discovery, development, and delivery of innovative medicines, particularly in the areas of Virology, Oncology, and Inflammation. Gilead is known for its transformative therapies, including pioneering treatments for HIV, hepatitis C, and other viral infections, while also focusing on cancer and inflammatory diseases. Gilead invests significantly in research and development to expand its pipeline of clinical programs and ensure that medicines reach patients in need, promoting health equity and community welfare. Additionally, Gilead is committed to providing access to its medicines in low- and middle-income countries, thereby addressing global health challenges.",none,TRUE,https://www.gilead.com/,Gilead Sciences Inc.
Novartis Korea,한국노바티스 (Korea Novartis),Pharmaceutical,24,Healthcare,"['Innovative therapies', 'healthcare solutions', 'life sciences']","한국노바티스 (Korea Novartis) is a subsidiary of Novartis AG, focusing on developing groundbreaking therapies to improve the lives of patients. The company aims to redefine treatments and expand access to innovative healthcare solutions for patients globally. It collaborates closely with healthcare professionals to address unmet medical needs, offering comprehensive services that include clinical research, innovative drug platforms, and a commitment to corporate social responsibility. Korean Novartis is dedicated to enriching patients' lives, extending their life expectancy, and enhancing their quality of life through cutting-edge scientific advancements.",none,TRUE,https://www.novartis.com/kr-ko/,Novartis Korea
